App,From,To,Type,Enabled
AIMP,$storage\$AppName,$env:APPDATA\$AppName,default,0
gramps,$storage\$AppName,$env:APPDATA\$AppName,default,0
KeePassXC,$storage\$AppName,$env:APPDATA\$AppName,default,0
ludusavi,$storage\$AppName,$env:APPDATA\$AppName,default,0
Playnite,$storage\$AppName,$env:APPDATA\$AppName,default,1
Powertoys,$storage\$AppName\$env:COMPUTERNAME,$env:LOCALAPPDATA\Microsoft\PowerToys,default,0
Sublime Text,$storage\$AppName\Config,$env:APPDATA\$AppName,default,0
SumatraPDF,$storage\$AppName,$env:LOCALAPPDATA\$AppName,default,0
Syncthing,$storage\$AppName\$env:COMPUTERNAME,$env:LOCALAPPDATA\$AppName,default,0
v2rayN,$storage\$AppName,$env:LOCALAPPDATA\$AppName,default,1
VSCodium,$storage\$AppName,$env:APPDATA\$AppName,default,0
EqualizerAPO,$storage\$AppName,$env:ProgramFiles\$AppName,isolate,1
deemix,$storage\$AppName,$env:APPDATA\$AppName,default,0
Stretchly,$storage\$AppName\config.json,$env:APPDATA\$AppName\config.json,default,0
SyncTrayzor,$storage\$AppName\$env:COMPUTERNAME,$env:APPDATA\$AppName,default,1
qBittorrent,$storage\$AppName,$env:APPDATA\$AppName,default,0
